issue_no,found_id,is_issue,is_pull_request
47983,47977,True,False
47966,47047,False,True
47928,42559,True,False
47821,32844,True,False
47821,47352,True,False
47739,47695,False,True
47738,47695,False,True
47735,46985,True,False
47690,47650,False,True
47596,47534,False,True
47442,47438,True,False
47306,47297,False,True
47247,47238,True,False
47185,46950,True,False
47102,46536,True,False
46950,46946,False,True
46906,46532,True,False
46858,40259,True,False
46818,43479,False,True
46798,9,True,False
46776,46493,False,True
46752,43795,True,False
46720,46538,False,True
46718,46441,False,True
46673,46310,False,True
46619,46310,False,True
46618,24092,True,False
46592,46504,False,True
46577,46575,True,False
46536,46877,True,False
46536,46990,True,False
46536,46899,True,False
46536,5087,False,True
46449,46310,False,True
46431,46082,False,True
46252,46114,False,True
46029,45823,False,True
46003,5512,True,False
45926,9,True,False
45832,39606,True,False
45787,5491,True,False
45652,4477,True,False
45536,45535,True,False
45535,45534,True,False
45429,39606,True,False
45331,45330,False,True
45301,45128,False,True
45287,27181,True,False
45221,41923,False,True
45201,45150,False,True
45200,45150,False,True
45114,45024,False,True
45109,45106,True,False
45027,1,False,False
45010,44806,False,True
44982,43844,False,True
44962,43348,True,False
44908,44582,False,True
44822,5390,True,False
44801,44783,False,True
44764,44765,True,False
44752,44654,False,True
44745,44654,False,True
44744,44654,False,True
44703,44373,False,True
44540,44398,True,False
44459,43439,True,False
44187,23326,True,False
44148,44101,False,True
44129,44029,False,True
44127,44029,False,True
44100,0,False,False
44096,0,False,False
44063,8,True,False
44063,7,True,False
44063,2,False,False
43795,3301,False,True
43795,3417,True,False
43751,43715,False,True
43749,43715,False,True
43681,42303,False,True
43653,42303,False,True
43632,4,False,False
43587,43554,False,True
43584,43554,False,True
43581,43554,False,True
43561,43554,False,True
43536,42303,False,True
43501,0,False,False
43399,42303,False,True
43398,42303,False,True
43346,40753,False,True
43287,42303,False,True
43251,43000,False,True
43250,43000,False,True
43228,43000,False,True
43222,43000,False,True
43172,42303,False,True
43138,42303,False,True
43052,41110,True,False
43013,42789,False,True
42994,15,True,False
42994,16,True,False
42981,42303,False,True
42859,42303,False,True
42838,42837,True,False
42755,42464,True,False
42743,42303,False,True
42722,42303,False,True
42702,42303,False,True
42670,42303,False,True
42591,30327,True,False
42557,42303,False,True
42398,42303,False,True
41989,8,True,False
41784,20377,True,False
41428,8,True,False
41351,41007,False,True
41350,41288,False,True
41307,40897,False,True
41306,40897,False,True
41192,3104,False,True
41110,40897,False,True
41094,40897,False,True
41008,40755,False,True
41002,40897,False,True
40894,40643,False,True
40890,34254,False,True
40889,40643,False,True
40865,40129,True,False
40795,8,True,False
40727,42501,False,True
40675,40240,True,False
40602,1173,False,True
40296,40165,False,True
40041,39092,True,False
40022,38382,True,False
39872,39841,True,False
39706,38129,True,False
39557,36913,True,False
39519,22011,True,False
39466,39463,False,True
39466,38675,False,True
39430,8,True,False
39430,7,True,False
39298,39264,True,False
39288,39184,False,True
39155,25861,True,False
39154,39140,True,False
39106,38850,True,False
38801,1888,True,False
38801,24135,True,False
38801,40959,False,True
38801,41129,False,True
38801,41299,False,True
38801,41183,False,True
38779,36028,False,True
38734,37629,False,True
38641,522,True,False
38606,38545,True,False
38509,38493,False,True
38482,38476,False,True
38445,27060,True,False
38445,37730,False,True
38426,38330,True,False
38243,8,True,False
38236,37916,False,True
38233,37916,False,True
38193,37987,True,False
38193,37507,False,True
38170,37916,False,True
38149,37969,False,True
38132,37916,False,True
38121,8,True,False
38097,35525,True,False
38091,37995,True,False
38062,37916,False,True
38061,30326,True,False
38060,37916,False,True
38030,37916,False,True
37993,37313,True,False
37984,37896,False,True
37909,37896,False,True
37903,37896,False,True
37832,37730,False,True
37773,37320,False,True
37773,32536,False,True
37765,37730,False,True
37566,2698,False,True
37506,35667,False,True
37505,35667,False,True
37505,35667,False,True
37504,35667,False,True
37503,35667,False,True
37502,35667,False,True
37502,37501,True,False
37501,35667,False,True
37500,35667,False,True
37446,8,True,False
37409,37247,False,True
37382,37247,False,True
37361,37323,False,True
37310,36046,True,False
37268,37224,True,False
37178,36101,True,False
37071,36810,False,True
37056,31758,True,False
37055,31758,True,False
36814,36702,True,False
36617,36366,False,True
36587,32911,True,False
36503,36345,False,True
36403,25057,True,False
36403,26867,True,False
36327,31231,False,True
36273,35611,True,False
36241,35611,True,False
36165,36113,False,True
35985,35611,True,False
35984,35611,True,False
35981,8,True,False
35952,1,False,False
35854,8,True,False
35701,35603,False,True
35606,35146,True,False
35606,35597,False,True
35553,2400,True,False
35517,19613,True,False
35487,33275,True,False
35334,35305,False,True
35275,35245,False,True
35274,35245,False,True
35139,34617,False,True
35138,34454,False,True
35138,34454,False,True
35138,35137,True,False
35137,35138,True,False
35136,35135,True,False
35081,35495,True,False
35057,34915,False,True
34907,33558,True,False
34907,33558,True,False
34905,34678,True,False
34882,34695,False,True
34882,34678,True,False
34882,34695,False,True
34875,34764,False,True
34868,34764,False,True
34736,34223,False,True
34487,32911,True,False
34487,22055,True,False
34400,33983,False,True
34399,33983,False,True
34331,34332,False,True
34324,8,True,False
34282,34259,False,True
34264,34265,False,True
33977,33534,True,False
33977,40599,True,False
33977,25094,True,False
33975,1,False,False
33862,33828,False,True
33861,33827,False,True
33856,33834,False,True
33768,28928,True,False
33687,31497,False,True
33686,31497,False,True
33673,32549,False,True
33652,33646,False,True
33602,8925,True,False
33601,8925,True,False
33549,23133,True,False
33543,33196,False,True
33393,29635,True,False
33391,25529,True,False
33237,33206,False,True
33194,33029,False,True
33161,33151,False,True
33124,33070,False,True
33092,31832,True,False
33088,24621,False,True
33047,30174,True,False
32958,7,True,False
32957,32856,True,False
32916,32885,False,True
32911,1710,True,False
32911,34650,True,False
32911,34213,True,False
32830,32809,False,True
32807,32431,False,True
32807,32431,False,True
32791,7120,True,False
32722,32177,False,True
32538,30640,False,True
32538,32535,True,False
32535,30640,False,True
32533,32525,False,True
32529,32517,False,True
32529,32517,False,True
32404,32390,False,True
32354,8,True,False
32288,29641,True,False
32160,31231,False,True
32126,30743,False,True
32059,4032,True,False
32042,26761,True,False
32012,31967,False,True
32012,32018,False,True
31909,30815,False,True
31905,30815,False,True
31903,30815,False,True
31854,8,True,False
31790,22344,True,False
31784,31780,True,False
31762,31737,True,False
31609,24037,True,False
31459,28793,False,True
31419,31142,False,True
31418,31142,False,True
31417,31142,False,True
31416,31142,False,True
31374,32103,True,False
31313,30815,False,True
31286,31183,False,True
31045,30743,False,True
30540,29727,False,True
30288,22776,True,False
30263,30240,True,False
30263,30262,True,False
30239,30089,True,False
30114,29347,True,False
30089,30074,False,True
30030,8,True,False
30024,29985,False,True
29877,21338,False,True
29859,29708,True,False
29829,29456,False,True
29812,29764,False,True
29637,27212,True,False
29635,29635,True,False
29343,7,True,False
29278,28781,False,True
29277,28781,False,True
29277,332,False,True
29276,28781,False,True
29276,344,True,False
29275,28781,False,True
29274,28781,False,True
29273,28781,False,True
29272,28781,False,True
29272,331,False,True
29271,28781,False,True
29182,28945,True,False
29122,4,False,False
29038,29020,False,True
29030,29029,False,True
28940,1,False,False
28892,28587,False,True
28892,28587,False,True
28573,28465,True,False
28535,28534,True,False
28419,27523,True,False
28343,28294,False,True
28325,4858,True,False
28325,5183,False,True
28225,28043,False,True
28091,23381,True,False
27997,7,True,False
27950,23465,False,True
27945,27424,False,True
27945,27944,False,True
27874,27357,True,False
27852,27803,False,True
27801,22478,True,False
27772,27218,True,False
27715,27280,False,True
27713,27220,False,True
27713,27712,True,False
27628,7,True,False
27489,25047,False,True
27310,27240,True,False
27185,25565,False,True
27138,22673,False,True
27042,26578,False,True
27042,26578,False,True
26989,25301,True,False
26779,26778,True,False
26779,26398,False,True
26768,23664,True,False
26758,26590,False,True
26743,26688,True,False
26717,26718,False,True
26678,25426,False,True
26669,3519,False,True
26588,26566,True,False
26588,26566,True,False
26533,6,False,True
26454,25233,False,True
26444,915,True,False
26443,915,True,False
26442,915,True,False
26402,23956,True,False
26348,26338,True,False
26232,2840,True,False
26170,21379,False,True
25944,25903,False,True
25926,25722,True,False
25882,43,True,False
25746,2648,True,False
25744,4835,True,False
25744,4836,False,True
25744,4831,True,False
25744,25166,True,False
25744,25158,True,False
25744,24545,True,False
25659,25558,False,True
25652,19067,False,True
25593,23970,False,True
25593,23049,False,True
25556,25456,True,False
25385,23326,True,False
25371,25323,True,False
25371,25344,False,True
25369,23326,True,False
25261,24817,False,True
25261,24817,False,True
25211,1,False,False
25185,25182,True,False
24998,24996,True,False
24787,98,True,False
24734,23984,False,True
24734,24110,False,True
24678,19616,True,False
24677,24621,False,True
24604,24539,False,True
24604,24539,False,True
24603,24539,False,True
24603,24539,False,True
24602,24539,False,True
24602,24539,False,True
24549,23462,True,False
24498,24407,False,True
24498,2295,False,True
24436,24409,False,True
24431,24322,False,True
24394,4072,False,True
24318,24193,False,True
24294,24193,False,True
24286,21097,True,False
24096,23326,True,False
24096,24022,False,True
23837,23744,False,True
23806,7,True,False
23692,23636,True,False
23691,23636,True,False
23615,23490,False,True
23583,23087,False,True
23583,23457,False,True
23514,22812,False,True
23479,23430,False,True
23478,6859,True,False
23476,23457,False,True
23427,1,False,False
23427,2,False,False
23394,23049,False,True
23205,25220,False,True
23197,23195,True,False
23149,23136,False,True
23149,22672,True,False
23013,22978,True,False
23005,22945,True,False
22962,7,True,False
22962,7,True,False
22955,2,False,False
22913,1,False,False
22913,2,False,False
22832,22754,True,False
22781,22627,True,False
22506,22505,True,False
22282,19216,True,False
22273,19216,True,False
22264,19216,True,False
22045,21746,False,True
21937,21928,False,True
21846,21528,False,True
21697,21006,False,True
21666,6,False,True
21582,19848,True,False
21530,21006,False,True
21481,21479,False,True
21461,21439,False,True
21460,21439,False,True
21459,21439,False,True
21456,21439,False,True
21455,21439,False,True
21453,21439,False,True
21436,26,False,True
21327,7,True,False
21206,20773,True,False
21080,21031,False,True
21079,20814,False,True
21051,21052,False,True
21050,20990,False,True
20939,20808,True,False
20863,113,True,False
20829,20784,False,True
20709,20686,False,True
20677,20478,False,True
20675,1,False,False
20675,2,False,False
20455,7,True,False
20427,20323,False,True
20399,20384,True,False
20371,19490,False,True
20370,20276,False,True
20358,18383,False,True
20358,20336,False,True
20334,20277,False,True
20300,19999,False,True
20274,7,True,False
20268,19346,True,False
20089,20088,True,False
20064,20040,True,False
19958,19136,True,False
19952,19919,False,True
19900,19895,False,True
19829,18071,True,False
19829,1800,True,False
19570,19522,False,True
19545,19477,False,True
19459,5835,True,False
19459,19419,False,True
19431,6642,False,True
19368,19258,False,True
19274,18715,False,True
19274,17287,True,False
19274,19216,True,False
19218,0,False,False
19209,1,False,False
19180,7,True,False
19161,19029,True,False
19128,7,True,False
19128,6,False,True
19042,105,True,False
19001,114,True,False
18983,7,True,False
18983,7,True,False
18983,7,True,False
18970,17991,True,False
18960,18653,True,False
18911,15673,True,False
18911,15674,True,False
18911,15675,True,False
18911,15678,True,False
18911,15701,True,False
18911,15676,True,False
18911,15702,True,False
18911,15679,True,False
18876,6,False,True
18812,17177,True,False
18810,458,False,True
18766,18494,False,True
18707,13430,False,True
18689,18494,False,True
18526,323,True,False
18526,323,True,False
18526,328,True,False
18504,3846,True,False
18428,18293,True,False
18396,18307,False,True
18396,18307,False,True
18304,18283,True,False
18293,18283,True,False
18293,18133,True,False
18279,18278,True,False
18278,17182,True,False
18232,15974,True,False
18232,17207,True,False
18031,7,True,False
18031,7,True,False
18010,11,True,False
18001,7,True,False
18001,7,True,False
17960,17959,True,False
17937,13685,True,False
17929,17906,False,True
17891,7,True,False
17889,17998,True,False
17889,8919,True,False
17889,18000,True,False
17828,7,True,False
17733,17334,False,True
17634,17617,False,True
17631,1,False,False
17576,17544,False,True
17421,17376,False,True
17381,2677,True,False
17353,16676,True,False
17111,13602,True,False
17064,17055,False,True
16984,16927,True,False
16940,14354,False,True
16921,7,True,False
16916,16905,True,False
16856,2282,False,True
16670,7,True,False
16524,16503,True,False
16365,7660,True,False
16295,16199,True,False
16265,7,True,False
16198,0461,False,False
16182,16183,True,False
16156,5023,True,False
16148,16081,False,True
16127,7,True,False
16041,15966,False,True
15901,118,True,False
15804,2836,True,False
